Location,Detail Link,Image Name,Price,Property Type,Photo Count,Broker,Beds,Baths,Sqft,Lot Size,Days on Site
"100 Royal Palm Way Unit 1030, Boca Raton, FL",https://www.estately.com/listings/info/100-royal-palm-way-boca-raton-fl-33432--8,100_Royal_Palm_Way_Unit1030_Boca_Raton_FL.jpg,"$260,000",Condo For Sale,6 photos,Lucky 13 Realty,2,1.5,941,,
"248 E Boca Raton Road, Boca Raton, FL",https://www.estately.com/listings/info/248-e-boca-raton-road-boca-raton-fl-33432,248_E_Boca_Raton_Road_Boca_Raton_FL.jpg,"$2,495,000",Townhouse For Sale,47 photos,Keller Williams Realty Boca Raton,3,2.5,"2,837",,
"2731 NE 40th Ct, Lighthouse Point, FL",https://www.estately.com/listings/info/2731-ne-40th-ct-lighthouse-point-fl-33064--1,2731_NE_40th_Ct_Lighthouse_Point_FL.jpg,"$1,299,000",House For Sale,59 photos,,4,4,"2,870","8,924",
"99 SE Mizner Boulevard Unit 547, Boca Raton, FL",https://www.estately.com/listings/info/99-se-mizner-boulevard-boca-raton-fl-33432--28,99_SE_Mizner_Boulevard_Unit547_Boca_Raton_FL.jpg,"$819,000",Condo For Sale,31 photos,One Sotheby's International Realty,2,2,"1,310",,
"330 SE 20th Avenue Unit 404, Deerfield Beach, FL",https://www.estately.com/listings/info/330-se-20th-avenue-deerfield-beach-fl-33441--5,330_SE_20th_Avenue_Unit404_Deerfield_Beach_FL.jpg,"$485,000",Condo For Sale,38 photos,"Real Broker, LLC",1,2,"1,002",,
"1012 N Ocean Blvd Unit 1006, Pompano Beach, FL",https://www.estately.com/listings/info/1012-n-ocean-blvd-pompano-beach-fl-33062--34,1012_N_Ocean_Blvd_Unit1006_Pompano_Beach_FL.jpg,"$619,000",Condo For Sale,30 photos,,2,2,"1,310",,
"335 NE 29th St, Boca Raton, FL",https://www.estately.com/listings/info/335-ne-29th-st-boca-raton-fl-33431,335_NE_29th_St_Boca_Raton_FL.jpg,"$650,000",House For Sale,25 photos,,2,1,"1,190","7,580",
"2631 NE 51st Court, Lighthouse Point, FL",https://www.estately.com/listings/info/2631-ne-51st-court-lighthouse-point-fl-33064,2631_NE_51st_Court_Lighthouse_Point_FL.jpg,"$735,000",House For Sale,54 photos,Charles Rutenberg Realty FTL,3,3,"1,616",,
"450 NE 32nd Street, Boca Raton, FL",https://www.estately.com/listings/info/450-ne-32nd-street-boca-raton-fl-33431,450_NE_32nd_Street_Boca_Raton_FL.jpg,"$750,000",House For Sale,29 photos,EXP Realty LLC,3,2,"1,638",,
"1523 E Hillsboro Boulevard Unit 531, Deerfield Beach, FL",https://www.estately.com/listings/info/1523-e-hillsboro-boulevard-deerfield-beach-fl-33441--7,1523_E_Hillsboro_Boulevard_Unit531_Deerfield_Beach_FL.jpg,"$740,000",Condo For Sale,38 photos,Beachfront Properties Real Estate LLC,3,3,"1,836",,
"550 SW 11th Dr, Deerfield Beach, FL",https://www.estately.com/listings/info/550-sw-11th-dr-deerfield-beach-fl-33441,550_SW_11th_Dr_Deerfield_Beach_FL.jpg,"$495,000",House For Sale,18 photos,,3,2,"1,450","7,000",
"698 SW 12th Terrace, Boca Raton, FL",https://www.estately.com/listings/info/698-sw-12th-terrace-boca-raton-fl-33486--1,698_SW_12th_Terrace_Boca_Raton_FL.jpg,"$1,500,000",House For Sale,24 photos,Cardinal Group Enterprise INC,4,4,"2,284",,
"804 SE 7th Street Unit 206, Deerfield Beach, FL",https://www.estately.com/listings/info/804-se-7th-street-deerfield-beach-fl-33441,804_SE_7th_Street_Unit206_Deerfield_Beach_FL.jpg,"$235,000",Condo For Sale,24 photos,Coldwell Banker/BR,2,2,"1,050",,
"366 NE Wavecrest Court, Boca Raton, FL",https://www.estately.com/listings/info/366-ne-wavecrest-court-boca-raton-fl-33432,366_NE_Wavecrest_Court_Boca_Raton_FL.jpg,"$2,200,000",House For Sale,11 photos,One Sotheby's International Realty,3,2,"1,359",,
"726 NE 2nd St, Pompano Beach, FL",https://www.estately.com/listings/info/726-ne-2nd-st-pompano-beach-fl-33060,726_NE_2nd_St_Pompano_Beach_FL.jpg,"$699,000",Multifamily For Sale,62 photos,,–,–,"2,090",,
"2772 NE 30th Ave Unit 8b, Lighthouse Point, FL",https://www.estately.com/listings/info/2772-ne-30th-ave-lighthouse-point-fl-33064--1,2772_NE_30th_Ave_Unit8b_Lighthouse_Point_FL.jpg,"$385,000",Condo For Sale,29 photos,,2,2,"1,300",,
"2589 NE 15th St Unit 2589, Pompano Beach, FL",https://www.estately.com/listings/info/2589-ne-15th-st-pompano-beach-fl-33062--1,2589_NE_15th_St_Unit2589_Pompano_Beach_FL.jpg,"$375,000",Condo For Sale,36 photos,,2,2.5,"1,008",,
"3419 SE 8th St #10, Pompano Beach, FL",https://www.estately.com/listings/info/3419-se-8th-st-pompano-beach-fl-33062,3419_SE_8th_St_10_Pompano_Beach_FL.jpg,"$1,000,000",House For Sale,55 photos,,2,2.5,"1,360",,
"2677 N Ocean Boulevard Unit Th22, Boca Raton, FL",https://www.estately.com/listings/info/2677-n-ocean-boulevard-boca-raton-fl-33431--1,2677_N_Ocean_Boulevard_UnitTh22_Boca_Raton_FL.jpg,"$1,600,000",Townhouse For Sale,87 photos,Poinciana Realty,3,2.5,"2,063",,
"1428 SE 4th Avenue Unit I-272, Deerfield Beach, FL",https://www.estately.com/listings/info/1428-se-4th-avenue-deerfield-beach-fl-33441--13,1428_SE_4th_Avenue_UnitI272_Deerfield_Beach_FL.jpg,"$179,900",Condo For Sale,13 photos,GBG Realty Group LLC,1,1.5,800,,
"331 SW 8th St Unit 1-C, Boca Raton, FL",https://www.estately.com/listings/info/331-sw-8th-st-boca-raton-fl-33432--1,331_SW_8th_St_Unit1C_Boca_Raton_FL.jpg,"$199,999",Condo For Sale,29 photos,,1,1,756,,
"821 N Riverside Dr Unit 302, Pompano Beach, FL",https://www.estately.com/listings/info/821-n-riverside-dr-pompano-beach-fl-33062--1,821_N_Riverside_Dr_Unit302_Pompano_Beach_FL.jpg,"$949,000",Condo For Sale,48 photos,,2,2.5,"1,995",,
"455 NE 4th Street, Boca Raton, FL",https://www.estately.com/listings/info/455-ne-4th-street-boca-raton-fl-33432--2,455_NE_4th_Street_Boca_Raton_FL.jpg,"$5,950,000",House For Sale,97 photos,One Sotheby's International Realty,5,6.5,"5,451",,
"3205 SE 7th Street Unit 208, Pompano Beach, FL",https://www.estately.com/listings/info/3205-se-7th-street-pompano-beach-fl-33062--1,3205_SE_7th_Street_Unit208_Pompano_Beach_FL.jpg,"$175,000",Condo For Sale,27 photos,Tolliver Prince Realty,1,1,560,,
"1107 Pine Dr, Pompano Beach, FL",https://www.estately.com/listings/info/1107-pine-dr-pompano-beach-fl-33060,1107_Pine_Dr_Pompano_Beach_FL.jpg,"$999,000",Multifamily For Sale,29 photos,,–,–,"3,168",,
"1523 E Hillsboro Boulevard Unit 631, Deerfield Beach, FL",https://www.estately.com/listings/info/1523-e-hillsboro-boulevard-deerfield-beach-fl-33441--6,1523_E_Hillsboro_Boulevard_Unit631_Deerfield_Beach_FL.jpg,"$774,995",Condo For Sale,62 photos,Compass Florida LLC,3,3,"1,836",,
