Location,Detail Link,Image Name,Price,Property Type,Photo Count,Broker,Beds,Baths,Sqft,Lot Size,Sold Date
"4043 Rector Cmn, Fremont, CA",https://www.estately.com/listings/info/4043-rector-cmn-fremont-ca-94538,,"$920,000",Sold Condo,7 photos,Sold Condo,3,2,"1,389","10,132",04/19/2024
"41555 Chadbourne Dr, Fremont, CA",https://www.estately.com/listings/info/41555-chadbourne-dr-fremont-ca-94539--2,,"$2,777,000",Sold House,57 photos,Sold House,4,2,"2,024","8,208",04/19/2024
"3695 Stevenson Boulevard Unit D124, Fremont, CA",https://www.estately.com/listings/info/3695-stevenson-boulevard-fremont-ca-94538--10,,"$735,000",Sold Condo,25 photos,Sold Condo,2,2,"1,040",,04/19/2024
"3695 Stevenson BLVD D124, FREMONT, CA",https://www.estately.com/listings/info/3695-stevenson-blvd-d124-fremont-ca-94538,,"$735,000",Sold Condo,25 photos,,2,2,"1,040",,04/19/2024
"40950 Gramercy Terrace, Fremont, CA",https://www.estately.com/listings/info/40950-gramercy-terrace-fremont-ca-94538,,"$1,550,000",Sold Townhouse,22 photos,Sold Townhouse,4,4,"1,639",,04/18/2024
"1910 Barrymore Cmn Unit M, Fremont, CA",https://www.estately.com/listings/info/1910-barrymore-cmn-fremont-ca-94538--6,,"$485,000",Sold Condo,No photo,Sold Condo,1,1,640,,04/17/2024
"39579 Stevenson Pl, Fremont, CA",https://www.estately.com/listings/info/39579-stevenson-pl-fremont-ca-94539,,"$1,890,000",Sold House,32 photos,Sold House,4,4,"1,949","1,319",04/17/2024
"4214 Providence Ter, Fremont, CA",https://www.estately.com/listings/info/4214-providence-ter-fremont-ca-94538,,"$1,460,000",Sold Townhouse,20 photos,Sold Townhouse,3,4,"1,485","1,209",04/17/2024
"40965 Gramercy TER, FREMONT, CA",https://www.estately.com/listings/info/40965-gramercy-ter-fremont-ca-94538--1,,"$1,462,500",Sold Townhouse,42 photos,,4,3.5,"1,639",,04/15/2024
"40965 Gramercy Terrace, Fremont, CA",https://www.estately.com/listings/info/40965-gramercy-terrace-fremont-ca-94538--2,,"$1,462,500",Sold Townhouse,42 photos,Sold Townhouse,4,4,"1,639",,04/15/2024
"4041 Margery Dr, Fremont, CA",https://www.estately.com/listings/info/4041-margery-dr-fremont-ca-94538--1,,"$1,485,000",Sold House,1 photo,Sold House,3,2,"1,148","7,758",04/12/2024
"39206 Guardino Drive Unit 308, Fremont, CA",https://www.estately.com/listings/info/39206-guardino-drive-fremont-ca-94538--4,,"$480,000",Sold Condo,1 photo,Sold Condo,1,1,693,,04/09/2024
"4678 De Silva Street, Fremont, CA",https://www.estately.com/listings/info/4678-de-silva-street-fremont-ca-94538,,"$1,700,000",Sold House,36 photos,Sold House,3,2,"1,544","7,178",04/05/2024
"39029 Guardino Dr Unit 124, Fremont, CA",https://www.estately.com/listings/info/39029-guardino-dr-fremont-ca-94538--20,,"$670,000",Sold Condo,1 photo,Sold Condo,2,2,"1,053",,04/05/2024
"113 El Dorado CMN, FREMONT, CA",https://www.estately.com/listings/info/113-el-dorado-cmn-fremont-ca-94539,,"$1,185,000",Sold Townhouse,6 photos,,3,1.5,"1,329","1,633",04/04/2024
"113 El Dorado, Fremont, CA",https://www.estately.com/listings/info/113-el-dorado-fremont-ca-94539,,"$1,185,000",Sold Townhouse,6 photos,Sold Townhouse,3,2,"1,329","1,633",04/04/2024
"2949 Pescadero TER, FREMONT, CA",https://www.estately.com/listings/info/2949-pescadero-ter-fremont-ca-94538,,"$1,360,000",Sold House,28 photos,,3,2.5,"1,644","1,350",04/01/2024
"2949 Pescadero Terrace, Fremont, CA",https://www.estately.com/listings/info/2949-pescadero-terrace-fremont-ca-94538--1,,"$1,360,000",Sold House,1 photo,Sold House,3,3,"1,644","1,350",04/01/2024
"40701 Tirso St, Fremont, CA",https://www.estately.com/listings/info/40701-tirso-st-fremont-ca-94539,,"$3,003,000",Sold House,47 photos,Sold House,5,3,"2,409","9,900",03/30/2024
"41628 Belford Terrace, Fremont, CA",https://www.estately.com/listings/info/41678-e-belford-terrace-fremont-ca-94538,,"$1,300,506",Sold Condo,1 photo,Sold Condo,4,3,"1,569",,03/29/2024
"41628 Belford Terrace, Fremont, CA",https://www.estately.com/listings/info/41628-belford-terrace-fremont-ca-94538,,"$1,300,506",Sold Condo,18 photos,Sold Condo,4,3,"1,569",,03/29/2024
"38843 Litchfield Cir, Fremont, CA",https://www.estately.com/listings/info/38843-litchfield-cir-fremont-ca-94536--1,,"$1,696,000",Sold House,1 photo,Sold House,3,3,"1,306","3,863",03/28/2024
"38869 Salmon Terrace, Fremont, CA",https://www.estately.com/listings/info/38869-salmon-terrace-fremont-ca-94536--1,,"$1,100,000",Sold Townhouse,26 photos,Sold Townhouse,2,3,"1,178","1,014",03/28/2024
"39739 Bissy Cmn, Fremont, CA",https://www.estately.com/listings/info/39739-bissy-cmn-fremont-ca-94538--1,,"$701,000",Sold Condo,44 photos,Sold Condo,2,2,"1,067",,03/28/2024
"40920 Cascado Pl, Fremont, CA",https://www.estately.com/listings/info/40920-cascado-pl-fremont-ca-94539,,"$2,320,000",Sold House,1 photo,Sold House,4,2,"1,718","6,480",03/28/2024
"39739 Bissy Cmn, Fremont, CA",https://www.estately.com/listings/info/39739-bissy-cmn-fremont-ca-94538,,"$701,000",Sold Condo,1 photo,Sold Condo,2,2,"1,067",,03/28/2024
"3086 Moss Landing Ter, Fremont, CA",https://www.estately.com/listings/info/3086-moss-landing-ter-fremont-ca-94538--1,,"$1,405,000",Sold House,1 photo,Sold House,4,4,"1,712","1,776",03/26/2024
"40645 Wolcott Place, Fremont, CA",https://www.estately.com/listings/info/40645-wolcott-place-fremont-ca-94538--1,,"$2,680,000",Sold House,1 photo,Sold House,4,4,"3,667","10,413",03/26/2024
"40472 Shaw Ct, Fremont, CA",https://www.estately.com/listings/info/40472-shaw-ct-fremont-ca-94538--1,,"$1,201,000",Sold House,1 photo,Sold House,3,1,950,"5,952",03/26/2024
"1960 Waycross Road, Fremont, CA",https://www.estately.com/listings/info/1960-waycross-road-fremont-ca-94539,,"$2,352,000",Sold House,41 photos,Sold House,3,2,"1,711","6,678",03/21/2024
"70 Castro Ln, Fremont, CA",https://www.estately.com/listings/info/70-castro-ln-fremont-ca-94539--1,,"$3,408,000",Sold House,1 photo,Sold House,4,3,"3,469","10,640",03/21/2024
"5132 Trade Wind Lane, Fremont, CA",https://www.estately.com/listings/info/5132-trade-wind-lane-fremont-ca-94538,,"$1,300,000",Sold House,1 photo,RE/MAX Gold,3,2,"1,067","5,605",03/21/2024
"37963 Parkmont Dr, Fremont, CA",https://www.estately.com/listings/info/37963-parkmont-dr-fremont-ca-94536--1,,"$1,575,000",Sold House,33 photos,Sold House,3,2,"1,248","7,316",03/20/2024
"3572 Langdon Cmn, Fremont, CA",https://www.estately.com/listings/info/3572-langdon-cmn-fremont-ca-94538,,"$1,315,000",Sold Townhouse,40 photos,Sold Townhouse,3,3,"1,430","1,047",03/19/2024
"2036 Valorie St, Fremont, CA",https://www.estately.com/listings/info/2036-valorie-st-fremont-ca-94539,,"$1,299,999",Sold House,1 photo,Keller Williams Realty,3,2,"1,376","5,640",03/18/2024
"39224 Guardino Dr Unit 213, Fremont, CA",https://www.estately.com/listings/info/39224-guardino-dr-fremont-ca-94538--22,,"$690,000",Sold Condo,1 photo,Sold Condo,2,2,"1,053",,03/18/2024
"3695 Stevenson Blvd Unit E311, Fremont, CA",https://www.estately.com/listings/info/3695-stevenson-blvd-fremont-ca-94538--36,,"$705,000",Sold Condo,1 photo,Sold Condo,2,2,"1,040",,03/18/2024
"1930 Barrymore Unit P, Fremont, CA",https://www.estately.com/listings/info/1930-barrymore-fremont-ca-94538--1,,"$615,000",Sold Condo,1 photo,Sold Condo,2,1,882,,03/15/2024
"5222 Bamboo Lane, Fremont, CA",https://www.estately.com/listings/info/5222-bamboo-lane-fremont-ca-94538,,"$1,680,000",Sold House,28 photos,Sold House,4,2,"1,456","6,175",03/14/2024
"38780 Tyson LN 211C, FREMONT, CA",https://www.estately.com/listings/info/38780-tyson-ln-211c-fremont-ca-94536,,"$495,000",Sold Condo,27 photos,,1,1,887,,03/14/2024
