Location,Detail Link,Image Name,Price,Property Type,Photo Count,Broker,Beds,Baths,Sqft,Lot Size
"139 15 254th Street, Rosedale, NY",https://www.estately.com/listings/info/139-15-254th-street-rosedale-ny-11422,139_15_254th_Street_Rosedale_NY.jpg,"$1,050,000",Multifamily For Sale,6 photos,HomeSmart CrossIsland,6,5,–,"3,317"
"85 15 Main Street Unit 4K, Briarwood, NY",https://www.estately.com/listings/info/85-15-main-street-briarwood-ny-11435--85,85_15_Main_Street_Unit4K_Briarwood_NY.jpg,"$254,888",House For Sale,18 photos,EXP Realty,1,1,900,
"69 18 66th Road, Middle Village, NY",https://www.estately.com/listings/info/69-18-66th-road-middle-village-ny-11379,69_18_66th_Road_Middle_Village_NY.jpg,"$1,298,000",Multifamily,36 photos,Coldwell Banker Phillips,7,5,–,"2,373"
"50 43 192nd Street, Fresh Meadows, NY",https://www.estately.com/listings/info/50-43-192nd-street-flushing-ny-11365,50_43_192nd_Street_Fresh_Meadows_NY.jpg,"$1,688,888",House For Sale,36 photos,Real Broker NY LLC,4,4,–,"4,000"
"46 29 Douglaston Parkway, Douglaston, NY",https://www.estately.com/listings/info/46-29-douglaston-parkway-douglaston-ny-11362--3,46_29_Douglaston_Parkway_Douglaston_NY.jpg,"$1,749,000",House For Sale,25 photos,Winzone Realty Inc,4,5,–,"6,000"
"120 25 142nd Street, Jamaica, NY",https://www.estately.com/listings/info/120-25-142nd-street-jamaica-ny-11436,120_25_142nd_Street_Jamaica_NY.jpg,"$499,000",House For Sale,1 photo,Exit Realty Prime,3,2,–,"2,942"
"90 49 209th Street, Queens Village, NY",https://www.estately.com/listings/info/90-49-209th-street-queens-village-ny-11428,90_49_209th_Street_Queens_Village_NY.jpg,"$825,000",Multifamily,1 photo,RE/MAX Luxe,4,2,–,"2,800"
"136 18 Maple Ave Unit 9A, Flushing, NY",https://www.estately.com/listings/info/136-18-maple-ave-flushing-ny-11355,136_18_Maple_Ave_Unit9A_Flushing_NY.jpg,"$799,000",Condo For Sale,25 photos,Grand Brilliant Realty Inc,1,1,636,
"37 56 87 Street Unit 2G, Jackson Heights, NY",https://www.estately.com/listings/info/37-56-87-street-jackson-heights-ny-11372--3,37_56_87_Street_Unit2G_Jackson_Heights_NY.jpg,"$345,000",House For Sale,18 photos,EXP Realty,1,1,–,
"23 35 99th Street, E. Elmhurst, NY",https://www.estately.com/listings/info/23-35-99th-street-e-elmhurst-ny-11369,23_35_99th_Street_E_Elmhurst_NY.jpg,"$900,000",House For Sale,21 photos,Braithwaite Realty LLC,3,3,"1,304","4,400"
"43 10 48th Avenue Unit 3B, Woodside, NY",https://www.estately.com/listings/info/43-10-48th-avenue-woodside-ny-11377--20,43_10_48th_Avenue_Unit3B_Woodside_NY.jpg,"$549,000",House For Sale,35 photos,RealTegrity NY LLC,2,1,–,
"48 06 28th Avenue, Long Island City, NY",https://www.estately.com/listings/info/48-06-28th-avenue-long-island-city-ny-11103,48_06_28th_Avenue_Long_Island_City_NY.jpg,"$1,759,000",Multifamily For Sale,36 photos,Halvatzis Realty Inc,5,3,–,"1,520"
