Location,Detail Link,Image Name,Price,Property Type,Photo Count,Broker,Beds,Baths,Sqft,Lot Size
"410 Sunset Drive, LAVALE, MD",https://www.estately.com/listings/info/410-sunset-drive-lavale-md-21502--1,410_Sunset_Drive_LAVALE_MD.jpg,"$739,000",House For Sale,38 photos,House For Sale,5,6,"6,386",
"604 Kent Avenue, CUMBERLAND, MD",https://www.estately.com/listings/info/604-kent-avenue-cumberland-md-21502--1,604_Kent_Avenue_CUMBERLAND_MD.jpg,"$224,000",House For Sale,39 photos,House For Sale,4,2,"2,050","4,730"
"730 Gephart Drive, CUMBERLAND, MD",https://www.estately.com/listings/info/730-gephart-drive-cumberland-md-21502,730_Gephart_Drive_CUMBERLAND_MD.jpg,"$79,888",House For Sale,38 photos,House For Sale,3,1,968,"4,144"
"619 White Avenue, CUMBERLAND, MD",https://www.estately.com/listings/info/619-white-avenue-cumberland-md-21502--1,619_White_Avenue_CUMBERLAND_MD.jpg,"$225,000",House For Sale,33 photos,House For Sale,3,1,"1,315",
"508 Prince George Street, CUMBERLAND, MD",https://www.estately.com/listings/info/508-prince-george-street-cumberland-md-21502,508_Prince_George_Street_CUMBERLAND_MD.jpg,"$166,000",House For Sale,33 photos,House For Sale,3,2,"1,405","6,937"
"121 Wempe Drive, CUMBERLAND, MD",https://www.estately.com/listings/info/121-wempe-drive-cumberland-md-21502,121_Wempe_Drive_CUMBERLAND_MD.jpg,"$184,900",House For Sale,29 photos,House For Sale,3,3,"1,500",
"11307 Valley Road NE, CUMBERLAND, MD",https://www.estately.com/listings/info/11307-valley-road-ne-cumberland-md-21502,11307_Valley_Road_NE_CUMBERLAND_MD.jpg,"$114,900",House For Sale,7 photos,House For Sale,2,1,678,"10,000"
"Braddock Road, CUMBERLAND, MD",https://www.estately.com/listings/info/braddock-road-cumberland-md-21502,Braddock_Road_CUMBERLAND_MD.jpg,"$32,000",Land For Sale,15 photos,Land For Sale,–,–,–,
"211 Saratoga Street, CUMBERLAND, MD",https://www.estately.com/listings/info/211-saratoga-street-cumberland-md-21502,211_Saratoga_Street_CUMBERLAND_MD.jpg,"$180,000",House For Sale,26 photos,House For Sale,2,1,"1,680","2,725"
"54 Boone Street, CUMBERLAND, MD",https://www.estately.com/listings/info/54-boone-street-cumberland-md-21502,54_Boone_Street_CUMBERLAND_MD.jpg,"$53,000",Townhouse For Sale,8 photos,Townhouse For Sale,3,2,"1,650","1,742"
"750 Maryland Avenue, CUMBERLAND, MD",https://www.estately.com/listings/info/750-maryland-avenue-cumberland-md-21502,750_Maryland_Avenue_CUMBERLAND_MD.jpg,"$69,900",House For Sale,7 photos,House For Sale,3,1,"1,299","2,157"
"419 Columbia Street, CUMBERLAND, MD",https://www.estately.com/listings/info/419-columbia-street-cumberland-md-21502,419_Columbia_Street_CUMBERLAND_MD.jpg,"$68,800",House For Sale,13 photos,House For Sale,3,1,"1,376","2,252"
