Location,Detail Link,Image Name,Price,Property Type,Photo Count,Broker,Beds,Baths,Sqft,Lot Size
"3585 Greystone Avenue Unit 5B, BRONX, NY",https://www.estately.com/listings/info/3585-greystone-avenue-bronx-ny-10463--18,3585_Greystone_Avenue_Unit5B_BRONX_NY.jpg,"$449,000",Condo For Sale,27 photos,Keller Williams NY Realty,1,1,725,723
"2070 Vyse Avenue, BRONX, NY",https://www.estately.com/listings/info/2070-vyse-avenue-bronx-ny-10460--1,2070_Vyse_Avenue_BRONX_NY.jpg,"$1,800,000",Multifamily For Sale,1 photo,Vanguard Realty,26,9,"10,080","3,933"
"3650 Bronxwood Avenue, BRONX, NY",https://www.estately.com/listings/info/3650-bronxwood-avenue-bronx-ny-10469,3650_Bronxwood_Avenue_BRONX_NY.jpg,"$1,599,999",Multifamily,1 photo,"Compass Greater NY, LLC",7,5,"3,583","1,790"
"85 94 150th Street, Briarwood, NY",https://www.estately.com/listings/info/85-94-150th-street-briarwood-ny-11435,85_94_150th_Street_Briarwood_NY.jpg,"$1,289,000",Multifamily For Sale,26 photos,Keller Williams Realty Greater,4,3,"1,832","3,720"
"187 20 87th Road, Jamaica Estates, NY",https://www.estately.com/listings/info/187-20-87th-road-jamaica-estates-ny-11432,187_20_87th_Road_Jamaica_Estates_NY.jpg,"$900,000",House For Sale,25 photos,ERealty Advisors Inc,3,3,–,"4,000"
"66 27 Commonwealth Boulevard, Little Neck, NY",https://www.estately.com/listings/info/66-27-commonwealth-boulevard-little-neck-ny-11362,66_27_Commonwealth_Boulevard_Little_Neck_NY.jpg,"$1,398,000",House,20 photos,Keller Williams Legendary,3,5,–,"7,780"
"1806 Undercliff Avenue, BRONX, NY",https://www.estately.com/listings/info/1806-undercliff-avenue-bronx-ny-10453--1,1806_Undercliff_Avenue_BRONX_NY.jpg,"$575,000",House For Sale,21 photos,YourHomeSold Guaranteed Realty,4,1,"1,450","3,485"
"2481 Davidson Avenue, BRONX, NY",https://www.estately.com/listings/info/2481-davidson-avenue-bronx-ny-10468--1,2481_Davidson_Avenue_BRONX_NY.jpg,"$799,000",House For Sale,2 photos,HomeSmart Premier Living Rlty,12,4,"2,465","2,465"
"1946 East Tremont Avenue Unit 5A, BRONX, NY",https://www.estately.com/listings/info/1946-east-tremont-avenue-bronx-ny-10462,1946_East_Tremont_Avenue_Unit5A_BRONX_NY.jpg,"$280,000",Condo For Sale,1 photo,RC House Sales Realty Corp.,2,1,772,
"166 19 27th Avenue, Flushing, NY",https://www.estately.com/listings/info/166-19-27th-avenue-flushing-ny-11358,166_19_27th_Avenue_Flushing_NY.jpg,"$1,180,000",House,4 photos,East Coast REALTORS  Inc,3,2,–,"3,705"
